CRIM,RM,AGE,DIS,TAX,PTRATIO,PRICE
0.37517,6.089,97.7,5.2661,549.0,21.84,28.47
0.95076,5.332,46.5,9.8389,431.0,12.5,33.38
0.73226,6.19,58.6,10.9195,338.0,12.97,35.67
0.59906,6.305,35.7,3.2382,521.0,19.2,34.7
0.15686,6.28,68.9,1.7367,416.0,14.82,35.7
0.15684,6.54,42.5,10.6509,232.0,13.84,36.92
0.05903,6.417,36.6,5.2835,426.0,12.39,38.2
0.86631,6.23,61.3,6.9594,563.0,12.22,35.36
0.60151,5.965,20.4,11.6487,359.0,19.74,30.81
0.70836,5.17,20.6,1.7322,319.0,13.34,33.2
0.02156,6.215,37.5,8.1315,257.0,16.68,34.52
0.96994,6.104,22.9,1.8152,261.0,18.06,38.58
0.83261,6.136,28.6,5.1302,373.0,16.28,34.92
0.21313,5.362,47.1,9.842,438.0,12.27,34.71
0.18264,5.459,84.2,5.7682,232.0,19.84,33.34
0.18422,6.527,65.8,11.969,576.0,12.11,35.2
0.30494,5.98,61.0,7.1497,502.0,19.62,28.64
0.52523,6.341,43.5,4.5328,435.0,20.93,29.24
0.43251,6.014,94.5,3.4212,531.0,16.33,28.92
0.29194,6.015,51.8,4.8557,232.0,17.36,32.66
0.61224,6.469,27.0,5.0979,391.0,16.77,39.67
0.14035,5.742,69.4,1.7559,452.0,15.89,32.97
0.29285,6.048,29.1,5.0653,531.0,20.87,32.24
0.367,5.769,47.6,6.1066,513.0,20.94,24.97
0.45661,5.783,60.6,8.9501,311.0,15.36,30.89
0.78539,5.845,89.9,8.224,576.0,18.15,30.43
0.20047,6.111,59.5,8.7964,250.0,21.27,33.35
0.51472,5.761,76.2,1.092,550.0,21.62,28.44
0.59282,6.628,99.4,3.3943,588.0,17.09,34.89
0.0474,5.553,30.5,8.2785,271.0,16.53,36.47
0.60794,5.907,42.0,6.3239,489.0,14.79,32.98
0.17135,5.78,51.6,1.0584,216.0,21.59,33.24
0.06599,6.723,53.7,9.8494,362.0,13.43,39.05
0.94894,6.098,52.9,9.5009,407.0,17.8,37.34
0.96567,6.516,92.6,7.0326,432.0,14.83,30.98
0.80859,5.257,77.1,1.7311,574.0,14.79,30.45
0.30531,6.134,68.6,9.4317,469.0,16.05,32.63
0.09857,6.445,44.7,7.4208,393.0,21.99,34.56
0.68455,6.041,85.9,9.6016,524.0,12.55,31.54
0.44071,6.533,96.4,9.2692,580.0,17.79,31.91
0.12292,5.741,85.7,9.833,209.0,12.83,36.02
0.49568,6.705,20.1,6.6981,593.0,13.55,43.86
0.03535,7.149,70.9,2.5436,234.0,16.4,43.17
0.90941,5.819,24.1,8.3827,526.0,17.1,29.73
0.25952,5.777,40.6,7.8252,312.0,14.59,33.71
0.66286,6.727,24.8,9.1648,253.0,15.16,38.71
0.3124,6.79,68.3,2.8687,376.0,12.87,36.38
0.52055,5.739,74.9,3.1447,458.0,15.03,31.8
0.54716,5.79,29.2,10.7945,352.0,21.67,31.75
0.18567,5.859,50.7,9.2498,222.0,21.45,29.34
0.96962,5.328,56.5,10.9905,440.0,15.35,31.28
0.77536,5.541,49.5,9.3459,561.0,17.71,29.47
0.93956,5.498,29.7,7.5687,353.0,21.1,28.07
0.89493,5.616,53.5,8.1955,287.0,12.06,34.21
0.5983,5.983,80.1,10.7804,377.0,20.11,33.43
0.92195,6.117,25.7,7.3669,219.0,21.48,35.42
0.0894,6.775,26.4,7.9563,528.0,12.91,38.73
0.19679,5.501,48.4,2.7212,531.0,13.61,31.82
0.04618,6.492,95.3,6.2131,435.0,21.61,32.33
0.32601,5.893,73.5,8.8804,341.0,17.38,31.2
0.38929,5.975,74.3,3.9804,520.0,12.14,30.18
0.27208,6.337,49.0,3.2248,422.0,14.58,41.01
0.82891,5.439,67.5,4.4521,530.0,16.5,29.63
0.3574,6.191,20.8,3.6565,453.0,18.93,35.22
0.28165,6.083,70.9,3.364,514.0,19.33,31.55
0.54315,6.246,93.1,5.6734,439.0,21.95,29.2
0.14178,6.145,69.0,10.9862,366.0,14.88,33.92
0.80239,7.228,89.9,6.5777,583.0,17.38,33.01
0.07548,5.681,77.9,3.0671,416.0,17.33,36.15
0.9869,5.735,29.6,1.8467,442.0,16.06,31.01
0.77247,5.688,92.2,8.6577,288.0,13.69,30.77
0.19952,5.722,25.3,5.2108,450.0,21.77,29.44
0.00652,5.681,62.7,10.0401,429.0,20.53,31.53
0.81565,6.595,31.4,8.2546,274.0,16.98,37.77
0.70715,6.71,20.9,9.7587,224.0,18.03,35.89
0.72928,5.715,53.8,3.9914,442.0,14.27,35.75
0.7715,5.584,43.6,8.6159,505.0,17.44,31.2
0.07497,6.236,58.9,3.9047,409.0,18.95,35.11
0.35911,5.724,66.2,11.3298,291.0,17.15,33.13
0.11675,6.316,23.5,8.0001,467.0,21.9,37.39
0.86324,6.101,29.8,4.5696,232.0,18.11,40.26
0.62367,5.242,64.7,3.9646,377.0,15.71,29.17
0.33157,6.774,47.5,3.1002,265.0,19.72,41.4
0.06449,6.898,78.3,8.6411,274.0,13.7,40.56
0.31167,5.694,72.2,3.4059,281.0,15.85,34.73
0.32586,5.806,87.6,7.5483,355.0,15.47,29.06
0.72988,6.143,75.4,3.911,220.0,16.32,35.61
0.63792,6.167,54.4,8.2817,359.0,19.82,31.1
0.88733,6.329,73.8,9.9643,405.0,16.84,35.18
0.47274,7.005,42.0,9.5583,393.0,19.94,38.86
0.12047,5.912,44.5,9.3694,353.0,17.76,28.73
0.71353,5.601,83.1,3.0649,536.0,15.42,30.43
0.76102,5.31,55.7,1.9722,258.0,20.1,32.72
0.56172,5.635,83.9,8.6884,402.0,14.38,31.06
0.7712,5.983,85.8,5.0518,225.0,14.24,37.03
0.4943,6.897,88.6,5.7558,228.0,17.05,39.33
0.52321,5.741,93.3,1.3426,430.0,14.61,33.45
0.42811,6.112,54.5,3.8553,426.0,12.09,36.09
0.02639,5.992,45.5,1.3704,551.0,18.48,30.12
0.10878,6.594,66.6,10.671,423.0,17.11,32.76
0.0324,7.263,49.7,3.6774,584.0,16.46,40.42
0.63677,5.735,68.1,7.1307,219.0,21.67,30.9
0.31504,5.755,76.4,1.4288,239.0,17.71,33.52
0.50906,6.522,75.1,8.3353,218.0,20.63,34.09
0.90766,6.341,50.0,4.5533,274.0,13.39,37.8
0.25004,6.923,33.3,10.8771,417.0,17.69,39.39
0.41097,6.292,54.4,10.7693,458.0,20.68,30.88
0.7558,5.82,31.4,4.5782,218.0,17.83,32.09
0.22957,6.295,91.2,10.9106,578.0,19.18,31.56
0.0779,6.554,47.7,11.9577,537.0,15.72,34.27
0.29046,6.41,32.4,10.0796,319.0,12.92,38.33
0.16206,6.254,22.0,10.2936,231.0,16.58,40.09
0.92977,6.533,71.7,3.7391,268.0,15.94,37.61
0.80831,6.585,71.0,7.3437,251.0,20.67,35.66
0.63377,6.691,47.2,1.7398,249.0,14.44,38.31
0.87159,6.324,25.7,2.0441,407.0,21.67,33.66
0.80387,5.916,52.8,11.9878,298.0,21.58,31.65
0.18738,6.073,44.9,4.593,343.0,14.48,33.22
0.89267,6.603,74.2,9.23,596.0,15.48,34.2
0.5398,5.592,68.5,9.8733,474.0,20.96,27.64
0.80763,6.184,49.2,10.4383,580.0,21.67,29.4
0.8962,5.803,37.4,11.9739,257.0,16.43,35.34
0.31869,6.014,99.0,3.6565,353.0,15.21,34.74
0.11094,6.639,56.3,1.4439,422.0,17.26,40.27
0.22871,6.096,75.1,5.5231,231.0,18.88,32.27
0.42768,6.023,31.2,2.4309,202.0,14.73,38.37
0.8182,5.32,58.8,1.2467,468.0,19.36,28.99
0.86087,6.373,22.2,4.9647,457.0,12.52,35.81
0.00795,6.323,60.4,9.6211,364.0,12.49,38.9
